,poems,class,Emotions
0,"A History Of Paisley:

You who will find the dark fossils of paisleys one afternoon on the peaks of Zabarvan Trader from an ancient market of the future, alibi of chronology, that vain collaborator of time - won't know that these are her footprints from the day the world began.
(Oh see, it is still the day the world begins: and the city rises, holding its remains, its wooden beams already their own fire's prophets.)
And you, now touching sky, deaf to her anklets still echoing in the valley, deaf to men fleeing from soldiers into dead-end lanes
(Look! Their feet bleed; they leave footprints on the street which will give up its fabric, at dusk, a carpet) you have found-you'll think- the first teardrop, gem that was enticed for a mogul diadem into design...
...three men are discussing, between sips of tea, undiscovered routes on emerald seas, ships with almonds, with shawls for Egypt. It is dusk. The gauze is torn. A weaver kneels, gathers falling threads. Soon he will stitch the air.
(The Country without a post office, 1997)
",i,Fear
1,"
A Pastoral

on the wall the dense ivy of executions --ZBIGNIEW HERBERT We shall meet again, in Srinagar, by the gates of the Villa of Peace, our hands blossoming into fists till the soldiers return the keys and disappear. Again we'll enter our last world, the first that vanished
in our absence from the broken city. We'll tear our shirts for tourniquets and bind the open thorns, warm the ivy into roses. Quick, by the pomegranate-- the bird will say--Humankind can bear everything. No need to stop the ear
to stories rumored in branches: We'll hear our gardener's voice, the way we did as children, clear under trees he'd planted:  It's true, my death, at the mosque entrance, in the massacre, when the Call to Prayer opened the floodgates --Quick, follow the silence--
 and dawn rushed into everyone's eyes.  Will we follow the horned lark, pry open the back gate into the poplar groves, go past the search post into the cemetery, the dust still uneasy on hurried graves with no names, like all new ones in the city?
 It's true  (we'll hear our gardener again).  That bird is silent all winter. Its voice returns in spring, a plaintive cry. That's when it saw the mountain falcon rip open, in mid-air, the blue magpie, then carry it, limp from the talons. 
Pluck the blood: My words will echo thus at sunset, by the ivy, but to what purpose?
In the drawer of the cedar stand, white in the verandah, we'll find letters: When the post offices died, the mailman knew we'd return to answer them. Better
if he'd let them speed to death, blacked out by Autumn's Press Trust not like this, taking away our breath, holding it with love's anonymous scripts:  See how your world has cracked. Why aren't you here? Where are you? Come back.
Is history deaf there, across the oceans?  Quick, the bird will say. And we'll try the keys, with the first one open the door into the drawing room. Mirror after mirror, textiled by dust, will blind us to our return as we light oil lamps. The glass map of our country,
still on the wall, will tear us to lace-- We'll go past our ancestors, up the staircase, holding their wills against our hearts. Their wish was we return--forever!--and inherit(Quick, the bird will say) that to which we belong, not like this-- to get news of our death after the world's.
(for Suvir Kaul)
",i,Fear
2,"
Prayer Rug

Those intervals between the day's five calls to prayer
the women of the house pulling thick threads through vegetables
rosaries of ginger of rustling peppers in autumn drying for winter
in those intervals this rug part of Grandma's dowry folded
so the Devil's shadow would not desecrate Mecca scarlet-woven
with minarets of gold but then the sunset call to prayer
the servants their straw mats unrolled praying or in the garden
in summer on grass the children wanting the prayers to end
the women's foreheads touching Abraham's silk stone of sacrifice
black stone descended from Heaven the pilgrims in white circling it
this year my grandmother also a pilgrim in Mecca she weeps
as the stone is unveiled she weeps holding on to the pillars
",i,Surprise
3,"
Shaving

In the mirror, the hand hacks at my skin It belongs to the child who used his father's blades for sharpening pencils, playing murder.
Full of cuts, I have the blood-effacing instruments: water, water, and survival tricks : I'm as clean
as glass, my brown face glistens with oil, turns a fine olive green. There's no return
to the sanctuary of ripped paper-boat-journeys
This is morning, I must scrub myself. A college lecturer, I smell of talcum Old Spice and unwritten poems.
The mirror smiles back like a forgotten student:
The hairs die like ants in the basin.
My reflection gathers the night's dust, I wipe it with the morning towels.
The girls drape their muslin shawls, their necks turn on Isadora's wheels:
In the classroom I shuffle like unrhymed poetry
The blade, wet with Essenin's wrist, waits with the unwritten poem.
",i,Fear
4,"
Snow on the Desert

Each ray of sunshine is seven minutes old,  Serge told me in New York one December night.
So when I look at the sky, I see the past?   Yes, Yes,' he said.  especially on a clear day. 
On January 19, 1987, as I very early in the morning drove my sister to Tucson International,
suddenly on Alvernon and 22nd Street the sliding doors of the fog were opened,
and the snow, which had fallen all night, now sun-dazzled, blinded us, the earth whitened
out, as if by cocaine, the desert's plants, its mineral-hard colors extinguished, wine frozen in the veins of the cactus.
***
The Desert Smells Like Rain: in it I read: The syrup from which sacred wine is made
is extracted from the saguaros each summer. The Papagos place it in jars,
where the last of it softens, then darkens into a color of blood though it tastes
strangely sweet, almost white, like a dry wine. As I tell Sameetah this, we are still
seven miles away.  And you know the flowers of the saguaros bloom only at night? 
We are driving slowly, the road is glass.  Imagine where we are was a sea once.
Just imagine!  The sky is relentlessly sapphire, and the past is happening quickly:
the saguaros have opened themselves, stretched out their arms to rays millions of years old,
in each ray a secret of the planet's origin, the rays hurting each cactus
into memory, a human memory for they are human, the Papagos say:
not only because they have arms and veins and secrets. But because they too are a tribe,
vulnerable to massacre.  It is like the end, perhaps the beginning of the world, 
Sameetah says, staring at their snow-sleeved arms. And we are driving by the ocean
that evaporated here, by its shores, the past now happening so quickly that each
stoplight hurts us into memory, the sky taking rapid notes on us as we turn
at Tucson Boulevard and drive into the airport, and I realize that the earth
is thawing from longing into longing and that we are being forgotten by those arms.
***
At the airport I stared after her plane till the window was
again a mirror. As I drove back to the foothills, the fog
shut its doors behind me on Alvernon, and I breathed the dried seas
the earth had lost, their forsaken shores. And I remembered
another moment that refers only to itself:
in New Delhi one night as Begum Akhtar sang, the lights went out.
It was perhaps during the Bangladesh War, perhaps there were sirens,
air-raid warnings. But the audience, hushed, did not stir.
The microphone was dead, but she went on singing, and her voice
was coming from far away, as if she had already died.
And just before the lights did flood her again, melting the frost
of her diamond into rays, it was, like this turning dark
of fog, a moment when only a lost sea can be heard, a time
to recollect every shadow, everything the earth was losing,
a time to think of everything the earth and I had lost, of all
that I would lose, of all that I was losing.
",i,Sad
5,"
Snowmen

My ancestor, a man of Himalayan snow, came to Kashmir from Samarkand, carrying a bag of whale bones: heirlooms from sea funerals. His skeleton carved from glaciers, his breath arctic, he froze women in his embrace. His wife thawed into stony water, her old age a clear evaporation. This heirloom, his skeleton under my skin, passed from son to grandson, generations of snowmen on my back. They tap every year on my window, their voices hushed to ice. No, they won't let me out of winter, and I've promised myself, even if I'm the last snowman, that I'll ride into spring on their melting shoulders.
",i,Sad
6,"
Stationery

The moon did not become the sun. It just fell on the desert in great sheets, reams of silver handmade by you.
The night is your cottage industry now, the day is your brisk emporium.
The world is full of paper. Write to me.
",i,Happy
7,"
Storm

The rain dissolves its liquid bones Humming the wind, the lightning grazes the skin. A cloud descends : My eye is vapour, this, the dream's downpour: I must seal the tin-blue spaces.
I glued some scraps, made a paper boat: Balancing a prophet's journey, the Great Flood in the bathroom sink, I was six years old: Mother, close the tap, Noah has hit the night, his Ark will sink.
In the Atlantic's pariah-blue, there are no survivors; On the unsinkable Titanic, I'm left all alone; Ice-bergs hide their whale-teeth: I can't save Noah, God has picked his relic,
beaten me to it: He wears Noah, a charm round His neck. On the empty deck, no life-boat left, my fingers capsize. My jacket is ice, I hold on to its cold, to anything. Mother,
I'm alone, terribly alone.
",i,Sad
8,"
Taxidermist

First the hand, delicate, precise, knows how to carve where to take the knife, make more alive than when alive:
No fur, no feather, I am only skin-deep, so easy to get to the cancer beneath:
He fills me with straw, Yeats's tattered coat at twenty-five, (not the adolescent fancy-dress-scarecrow when I won the first prize!)
No hurdle now, he reaches my hunger: I've never felt so full before!
I scare eagles, the stuffed crows in his room; they escape me, freedom a synonym for the sky.
Caressed by the leopard's vacant eye, finally warm, secure, in his skin, I turn towards the bloodless direction.
The fan drones in my veins, blood humming like chopped air; my tongue hangs out, poems dead in its corners.
Suave pimp of freedom, here I am, ready for your show-window: Will you now bargain for me?
",i,Fear
9,"
The Wolf's Postcript To 'Little Red Riding Hood'

First, grant me my sense of history: I did it for posterity, for kindergarten teachers and a clear moral: Little girls shouldn't wander off in search of strange flowers, and they mustn't speak to strangers.
And then grant me my generous sense of plot: Couldn't I have gobbled her up right there in the jungle? Why did I ask her where her grandma lived? As if I, a forest-dweller, didn't know of the cottage under the three oak trees and the old woman lived there all alone? As if I couldn't have swallowed her years before?
And you may call me the Big Bad Wolf, now my only reputation. But I was no child-molester though you'll agree she was pretty.
And the huntsman: Was I sleeping while he snipped my thick black fur and filled me with garbage and stones? I ran with that weight and fell down, simply so children could laugh at the noise of the stones cutting through my belly, at the garbage spilling out with a perfect sense of timing, just when the tale should have come to an end.
",i,Sad
